scene_id,date,cog_url,avg_cloud_pct,total_tiles,bounds_min_x,bounds_min_y,bounds_max_x,bounds_max_y
2025-05-02t101041,2025-05-02,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-05-02t101041/swisseo_s2-sr_v200_mosaic_2025-05-02t101041_cloudmask_10m.tif,57.97,335,2802210.0,1121490.0,2839210.0,1211490.0
2025-02-27t103021,2025-02-27,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-27t103021/swisseo_s2-sr_v200_mosaic_2025-02-27t103021_cloudmask_10m.tif,93.87,36825,2479610.0,1073190.0,2761610.0,1303190.0
2025-02-24t102051,2025-02-24,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-24t102051/swisseo_s2-sr_v200_mosaic_2025-02-24t102051_cloudmask_10m.tif,96.27,29194,2596220.0,1058340.0,2839220.0,1303340.0
2025-02-22t102939,2025-02-22,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-22t102939/swisseo_s2-sr_v200_mosaic_2025-02-22t102939_cloudmask_10m.tif,95.55,37629,2479610.0,1058190.0,2761610.0,1303190.0
2025-02-21t101051,2025-02-21,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-21t101051/swisseo_s2-sr_v200_mosaic_2025-02-21t101051_cloudmask_10m.tif,99.2,196,2803210.0,1130490.0,2839210.0,1215490.0
2025-02-20t104121,2025-02-20,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-20t104121/swisseo_s2-sr_v200_mosaic_2025-02-20t104121_cloudmask_10m.tif,88.42,3830,2480220.0,1105390.0,2569220.0,1267390.0
2025-02-19t101959,2025-02-19,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-19t101959/swisseo_s2-sr_v200_mosaic_2025-02-19t101959_cloudmask_10m.tif,97.71,19465,2596220.0,1058340.0,2839220.0,1303340.0
2025-02-17t103131,2025-02-17,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-17t103131/swisseo_s2-sr_v200_mosaic_2025-02-17t103131_cloudmask_10m.tif,99.02,24838,2479610.0,1058190.0,2761610.0,1303190.0
2025-02-16t101029,2025-02-16,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-16t101029/swisseo_s2-sr_v200_mosaic_2025-02-16t101029_cloudmask_10m.tif,79.25,680,2802210.0,1122490.0,2838210.0,1215490.0
2025-02-15t104029,2025-02-15,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-15t104029/swisseo_s2-sr_v200_mosaic_2025-02-15t104029_cloudmask_10m.tif,76.34,500,2480220.0,1104390.0,2565220.0,1255390.0
2025-02-14t102151,2025-02-14,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-14t102151/swisseo_s2-sr_v200_mosaic_2025-02-14t102151_cloudmask_10m.tif,92.03,29437,2599220.0,1079340.0,2839220.0,1303340.0
2025-02-12t103049,2025-02-12,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-12t103049/swisseo_s2-sr_v200_mosaic_2025-02-12t103049_cloudmask_10m.tif,93.19,40059,2479610.0,1058190.0,2761610.0,1303190.0
2025-02-11t101201,2025-02-11,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-11t101201/swisseo_s2-sr_v200_mosaic_2025-02-11t101201_cloudmask_10m.tif,92.44,1266,2799210.0,1116490.0,2839210.0,1215490.0
2025-02-09t102059,2025-02-09,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-09t102059/swisseo_s2-sr_v200_mosaic_2025-02-09t102059_cloudmask_10m.tif,90.39,29891,2597220.0,1058340.0,2839220.0,1303340.0
2025-02-07t103241,2025-02-07,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-07t103241/swisseo_s2-sr_v200_mosaic_2025-02-07t103241_cloudmask_10m.tif,94.84,34839,2479610.0,1058190.0,2760610.0,1303190.0
2025-02-06t101109,2025-02-06,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-06t101109/swisseo_s2-sr_v200_mosaic_2025-02-06t101109_cloudmask_10m.tif,98.07,66,2816210.0,1187490.0,2836210.0,1214490.0
2025-02-05t104129,2025-02-05,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-05t104129/swisseo_s2-sr_v200_mosaic_2025-02-05t104129_cloudmask_10m.tif,89.9,1952,2480220.0,1104390.0,2569220.0,1267390.0
2025-02-04t102251,2025-02-04,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-04t102251/swisseo_s2-sr_v200_mosaic_2025-02-04t102251_cloudmask_10m.tif,95.4,9946,2622220.0,1058340.0,2773220.0,1303340.0
2025-02-02t103149,2025-02-02,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-02t103149/swisseo_s2-sr_v200_mosaic_2025-02-02t103149_cloudmask_10m.tif,98.31,21712,2479610.0,1059190.0,2761610.0,1303190.0
2025-02-01t101301,2025-02-01,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-02-01t101301/swisseo_s2-sr_v200_mosaic_2025-02-01t101301_cloudmask_10m.tif,92.73,1698,2799210.0,1116490.0,2839210.0,1213490.0
2025-01-30t102159,2025-01-30,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-30t102159/swisseo_s2-sr_v200_mosaic_2025-01-30t102159_cloudmask_10m.tif,92.0,33109,2597220.0,1058340.0,2839220.0,1303340.0
2025-01-28t103331,2025-01-28,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-28t103331/swisseo_s2-sr_v200_mosaic_2025-01-28t103331_cloudmask_10m.tif,94.62,39478,2479610.0,1058190.0,2761610.0,1303190.0
2025-01-27t101209,2025-01-27,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-27t101209/swisseo_s2-sr_v200_mosaic_2025-01-27t101209_cloudmask_10m.tif,87.59,1674,2800210.0,1116490.0,2839210.0,1213490.0
2025-01-26t104229,2025-01-26,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-26t104229/swisseo_s2-sr_v200_mosaic_2025-01-26t104229_cloudmask_10m.tif,75.14,92,2480220.0,1104390.0,2515220.0,1154390.0
2025-01-25t102341,2025-01-25,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-25t102341/swisseo_s2-sr_v200_mosaic_2025-01-25t102341_cloudmask_10m.tif,85.81,17215,2596220.0,1058340.0,2838220.0,1303340.0
2025-01-23t103239,2025-01-23,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-23t103239/swisseo_s2-sr_v200_mosaic_2025-01-23t103239_cloudmask_10m.tif,86.48,39473,2479610.0,1058190.0,2761610.0,1303190.0
2025-01-22t101351,2025-01-22,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-22t101351/swisseo_s2-sr_v200_mosaic_2025-01-22t101351_cloudmask_10m.tif,87.67,1516,2799210.0,1116490.0,2839210.0,1215490.0
2025-01-21t104411,2025-01-21,https://sys-data.int.bgdi.ch/ch.swisstopo.swisseo_s2-sr_v200/2025-01-21t104411/swisseo_s2-sr_v200_mosaic_2025-01-21t104411_cloudmask_10m.tif,99.68,2062,2480220.0,1104390.0,2569220.0,1267390.0
